# 第7部 —— CAD用シンボルにするかしないか
#
# **HTML と SVG は規格の図記号ぜんぶに作る。**ここで決めるのはその先、
# 「その HTML・SVG を元に CAD用のシンボル（.elmt など）を作るかどうか」だけ。
#
# 書いていないものは「作る」。**作らないものだけをここに書く。**
# 理由を必ず書く。書かないと、後から見て「決めて外した」のか
# 「まだ描いていない」のかが分からなくなる。
#
# 索引（第7部索引.tsv）と分けてあるのは、索引を `mkindex.py` が規格票から
# 作り直すため。混ぜると作り直しで判断が消える。
#
# 判断は次の2つ。
#   CADにしない … 図は作るが、CAD用のシンボルにはしない
#   保留        … まだ決めていない
#
# **これは提案。**気が変わったら行を消せば「作る」に戻る。
#
# 番号	判断	理由
07-A11-01	CADにしない	旧図記号。多段スイッチの使い方の例で、単独の装置ではない
07-A11-02	CADにしない	旧図記号。同上
07-A11-03	CADにしない	旧図記号。同上
07-A11-04	CADにしない	旧図記号。同上
07-A11-05	CADにしない	旧図記号。同上
07-A11-06	CADにしない	旧図記号。同上
07-A11-07	CADにしない	旧図記号。同上
07-A11-08	CADにしない	旧図記号。同上
07-A11-09	CADにしない	旧図記号。同上
07-A11-10	CADにしない	旧図記号。同上
07-A12-02	CADにしない	旧図記号。規格票が構造図と接続表で示す例で、置いて配線するものではない
07-A12-03	CADにしない	旧図記号。同上
