番号	節	分類	ページ	名称
08-01-01	08-01	指示計器，記録計及び積算計（一般図記号）	9	指示計器（一般図記号）
08-01-02	08-01	指示計器，記録計及び積算計（一般図記号）	10	記録計（一般図記号）
08-01-03	08-01	指示計器，記録計及び積算計（一般図記号）	11	積算計（一般図記号）
08-02-01	08-02	指示計器の例	12	電圧計
08-02-02	08-02	指示計器の例	13	無効電流計
08-02-03	08-02	指示計器の例	14	最大需要電力計
08-02-04	08-02	指示計器の例	15	無効電力計
08-02-05	08-02	指示計器の例	16	力率計
08-02-06	08-02	指示計器の例	17	位相計
08-02-07	08-02	指示計器の例	18	周波数計
08-02-08	08-02	指示計器の例	19	同期検定器
08-02-09	08-02	指示計器の例	20	波長計
08-02-10	08-02	指示計器の例	21	オシロスコープ
08-02-11	08-02	指示計器の例	22	差動形電圧計
08-02-12	08-02	指示計器の例	23	検流計
08-02-13	08-02	指示計器の例	24	塩分計
08-02-14	08-02	指示計器の例	25	温度計，高温計
08-02-15	08-02	指示計器の例	26	回転計
08-03-01	08-03	記録計の例	27	記録電力計
08-03-02	08-03	記録計の例	28	記録電力計（記録無効電力計付き）
08-03-03	08-03	記録計の例	29	オシログラフ
08-04-01	08-04	積算計の例	30	時間計，時間計数器
08-04-02	08-04	積算計の例	31	積算電流計
08-04-03	08-04	積算計の例	32	電力量計
08-04-04	08-04	積算計の例	33	電力量計（一方向にだけ流れるエネル ギーを測定）
08-04-05	08-04	積算計の例	34	電力量計（母線から流出するエネルギ ーを測定）
08-04-06	08-04	積算計の例	35	電力量計（母線へ流入するエネルギー を測定）
08-04-07	08-04	積算計の例	36	電力量計（双方向電力量計）
08-04-08	08-04	積算計の例	37	多種料率電力量計
08-04-09	08-04	積算計の例	38	過電力量計
08-04-10	08-04	積算計の例	39	電力量計（変換器付き）
08-04-11	08-04	積算計の例	40	従属電力量計（表示器）
08-04-12	08-04	積算計の例	41	従属電力量計（印字装置付き，表示器）
08-04-13	08-04	積算計の例	42	電力量計（最大需要電力計付き）
08-04-14	08-04	積算計の例	43	電力量計（最大需要電力記録計付き）
08-04-15	08-04	積算計の例	44	無効電力量計
08-05-01	08-05	計数装置	45	事象数計数機能
08-05-02	08-05	計数装置	46	パルス計数装置
08-05-03	08-05	計数装置	47	パルス計数装置 （手動で n にプリセット可能）
08-05-04	08-05	計数装置	48	パルス計数装置 （電気的に 0 にリセット可能）
08-05-05	08-05	計数装置	49	パルス計数装置（複合接点付き）
08-05-06	08-05	計数装置	50	計数装置（カム作動形）
08-06-01	08-06	熱電対	51	熱電対
08-06-03	08-06	熱電対	52	直熱形熱電対
08-06-05	08-06	熱電対	53	傍熱形熱電対
08-08-01	08-08	電気時計	54	時計（一般図記号）
08-08-02	08-08	電気時計	55	親時計
08-08-03	08-08	電気時計	56	時計（接点付き）
08-10-01	08-10	ランプ及び信号報知装置	57	ランプ（一般図記号）
08-10-02	08-10	ランプ及び信号報知装置	58	信号ランプ（せん光形）
08-10-03	08-10	ランプ及び信号報知装置	59	電気機械式表示器，アナンシエータ素 子
08-10-04	08-10	ランプ及び信号報知装置	60	電気機械式位置表示器
08-10-06	08-10	ランプ及び信号報知装置	61	音響信号装置（一般図記号）
08-10-09	08-10	ランプ及び信号報知装置	62	サイレン
08-10-10	08-10	ランプ及び信号報知装置	63	ブザー
08-10-13	08-10	ランプ及び信号報知装置	64	変圧器付き信号ランプ
08-A6-01	08-A6	旧図記号・熱電対	68	熱電対
08-A6-02	08-A6	旧図記号・熱電対	69	直熱形熱電対
08-A6-03	08-A6	旧図記号・熱電対	70	傍熱形熱電対
08-A7-01	08-A7	旧図記号・遠隔測定装置	71	信号変換器（一般図記号）
08-A9-01	08-A9	旧図記号・その他の測定素子及び計器	72	同期装置（一般図記号）
08-A9-02	08-A9	旧図記号・その他の測定素子及び計器	73	トルク変換器
08-A9-03	08-A9	旧図記号・その他の測定素子及び計器	74	ジャイロ
08-A10-01	08-A10	旧図記号・ランプ及び信号報知装置	75	ホーン
08-A10-02	08-A10	旧図記号・ランプ及び信号報知装置	76	ベル
08-A10-03	08-A10	旧図記号・ランプ及び信号報知装置	77	片打ベル
08-A10-04	08-A10	旧図記号・ランプ及び信号報知装置	78	笛（電気式）
