# JIS C 0617 第7部の「注釈」（application note）—— 要点をこちらの言葉で書いたもの
#
# **規格票の本文を写さない。**（CLAUDE.md の 1・2・5）
# 原文が要るときは番号で規格票を引くこと。ここにあるのは、
# 図記号を描く・使うときに効いてくる点だけを自分の言葉でまとめたもの。
#
# 適用される図記号は docs/第7部注釈_適用.tsv（規格票から機械で抜いたもの）。
#
# 番号	表題	要点
A00060	動作の支点の小円	接触片の支点を表す小円（白丸か黒丸）は、たいていの接点図記号に足してよい。**必ず描かなければならないものもある**（オフ位置付き切換え接点 07-02-05 がその例）。
A00061	複雑な電子式スイッチ	電子式のスイッチには別の表し方がある。第12部（二値論理素子）と第13部（アナログ素子）を見ること。
A00062	位置スイッチの限定図記号	操作の手段を示す必要が無いときは、単純な接点図記号に付けて位置スイッチであることを示せる。手段まで示したいときは第2部の 02-13-16〜02-13-19 を使う。
A00063	両方向に操作される接点	両方向に機械的に操作されることを示すには、この図記号を**接点の両側に置く**。
A00064	自動復帰にも使える	自動復帰を表すのに使ってよい（07-A6-01 がその例）。
A00065	自動復帰記号との併用禁止	限定図記号 07-01-01〜07-01-04 と**一緒に使ってはならない**。多くの場合は第2部の 02-12-07（自動復帰）で足りる。
A00066	残留機能にも使える	残留機能を表すのに使ってよい。その約束で使うときは、図面のどこかで用法を断っておくのが望ましい。
A00067	戻り止め記号との併用禁止	限定図記号 07-01-01〜07-01-04 と**一緒に使ってはならない**。多くの場合は第2部の 02-12-08（戻り止め）で足りる。
A00068	確実動作	機械式装置が指示された向きに確実に動作する（させる）ことを表す。組の接点すべてが操作部に対応する位置まで動くという意味になる。
A00069	連結した接点への適用	接点が複数連結しているときは、特に断りが無ければ**連結したすべての接点に適用**する（07-13-14 がその例）。
A00070	限時記号の置き方	第2部の 02-12-05・02-12-06 を見ること。接点の開閉が操作より遅れる（弧の中心へ向かう動きが遅れる＝パラシュート効果）。**限時の記号は接点のどちら側に描いてもよい**ので、品名表示に都合のよい側を選ぶ。
A00082	押す・引く操作と復帰	押す・引く装置はたいてい自動復帰するので、**自動復帰記号は描かなくてよい**。逆に復帰しないときは**戻り止め記号（02-12-08）を必ず描く**。
A00083	回転操作と復帰	回転で操作する装置はたいてい自動復帰しないので、**戻り止め記号は描かなくてよい**。逆に自動復帰するときは**自動復帰記号（02-12-07）を描く**。
A00084	確実開放の掛かる範囲	確実開放は「ブレーク接点を開く」か「メーク接点を閉じる」かの**どちらか一方**に掛かり、また「すべての接点」か「特定の接点だけ」かの**どちらか**になる。同じ接点の開と閉の両方に掛けることはしない。
A00085	Θ の置き換え	文字 Θ は、実際の動作温度の条件に置き換えてよい。
A00086	複合スイッチの表し方	複合スイッチを機械で実現する方法も、図で表す方法も多数あり、**すべての用途に通じる決定版は無い**。図面の用途と装置の複雑さを見て選ぶ。規格票はそのうちの一つの例を、構造図を添えて示している。
A00087	始動器の種類	始動器の一般図記号の**中に限定図記号を入れて**、特定の形（07-14-05〜07-14-07 など）を示してよい。
A00088	ステップ数	ステップ数を書き添えてよい。
A00089	複巻線	複数の巻線を持つ作動装置は、**輪郭の中に引く斜線の本数**で巻線の数を示してよい（07-A15-02 がその例）。
A00090	有極継電器の黒丸	黒丸で、巻線を流れる電流の向きと接触片の動く向きの対応を示してよい。黒丸を付けた巻線端子が他方より正のとき、接触片は黒丸の側へ動く（動こうとする）。
A00091	* の置き換えと順序	アスタリスクは、装置のパラメータを表す文字記号か限定図記号に置き換える。**並べる順序が決まっている** —— 特性量とその変動モード、エネルギーの流れ方向、設定範囲、再設定比、遅延作用、時間遅れの値。
A00092	特性量の文字記号	特性量を表す文字記号は IEC 60027 や JIS Z 8000 の規定に従う。
A00093	測定素子の数	同じ測定素子がいくつあるかを、図記号の中に数字で書いてよい（07-17-05 がその例）。
A00094	装置全体か作動要素か	装置全体を表す機能の図記号としても、装置の作動要素だけを表す図記号としても使ってよい。
A00095	作動方法	作動の方法を示してよい。
A00096	支点の小円を足さない	動作の支点を表す小円（A00060）を、この図記号に**足してはならない**。
A00097	静止形スイッチの機能	適切な限定図記号を足して、静止形スイッチの機能を示してよい（07-02-03〜07-05-05 を参照）。
A00098	作動要素の種類	作動要素の種類を示す限定図記号を足してよい。
A00099	結合装置の * と X・Y	アスタリスクは結合媒体を表す図記号に置き換えるか省く。X と Y は関係する量の補助記号に置き換えるか省く。二重斜線は二重対角線にしてもよい。
A00247	リンク機構の破線	破線の引き方が決まっている —— 左は開放・投入を行う操作装置から、右は関連する主接点・補助接点まで、上辺または下辺は制圧的開放機能の備わった操作部から。
A00251	位置図への文字追加	位置図に文字を足して各位置の用途を示すと分かりやすい。操作器具の動きの制限（この位置からこの位置までしか回せない、時計回りだけ、など）も示せる。
A00252	18位置ウェーファ形の例	端子6個の回転式18位置ウェーファ形スイッチの例。規格票は構造図と接続表を添えている。
A00253	6位置ドラム形の例	端子5個の回転式6位置ドラム形スイッチの例。接続表の記号（＋・−・○）は、その位置で互いにつながる端子を表す。記号が足りなければキーボードで打てる文字（x・= など）を使うのが望ましい。
A00268	複合スイッチの特定形	特定の形の複合スイッチは、一般のスイッチ図記号（07-02-01）を specific なもの（手動なら 07-07-01 など）に置き換えて示す。
A00368	* を略称で置き換える	装置のパラメータに合う図記号が無いときは、通用している略称（IEC/TR 62711 など）でアスタリスクを置き換えてよい。
