番号	節	分類	ページ	名称
07-01-01	07-01	限定図記号	12	接点機能
07-01-02	07-01	限定図記号	13	遮断機能
07-01-03	07-01	限定図記号	14	断路機能
07-01-04	07-01	限定図記号	15	負荷開閉機能
07-01-05	07-01	限定図記号	16	自動引外し機能
07-01-06	07-01	限定図記号	17	位置スイッチ機能
07-01-09	07-01	限定図記号	18	スイッチの確実動作
07-01-10	07-01	限定図記号	19	断路遮断機能
07-02-01	07-02	2 位置又は 3 位置接点	20	メーク接点（一般図記号）， スイッチ（一般図記号）
07-02-03	07-02	2 位置又は 3 位置接点	21	ブレーク接点
07-02-04	07-02	2 位置又は 3 位置接点	22	非オーバーラップ切換え接点
07-02-05	07-02	2 位置又は 3 位置接点	23	オフ位置付き切換え接点
07-02-06	07-02	2 位置又は 3 位置接点	24	オーバーラップ切換え接点
07-02-07	07-02	2 位置又は 3 位置接点	25	オーバーラップ切換え接点
07-02-08	07-02	2 位置又は 3 位置接点	26	二重メーク接点
07-02-09	07-02	2 位置又は 3 位置接点	27	二重ブレーク接点
07-02-10	07-02	2 位置又は 3 位置接点	28	安全開離機能接点
07-03-01	07-03	2 位置の瞬時接点	29	動作瞬時接点
07-03-02	07-03	2 位置の瞬時接点	30	復帰瞬時接点
07-03-03	07-03	2 位置の瞬時接点	31	動作復帰瞬時接点
07-04-01	07-04	早期作動及び遅延動作接点	32	メーク接点（先行閉路）
07-04-02	07-04	早期作動及び遅延動作接点	33	メーク接点（遅延閉路）
07-04-03	07-04	早期作動及び遅延動作接点	34	ブレーク接点（遅延開路）
07-04-04	07-04	早期作動及び遅延動作接点	35	ブレーク接点（先行開路）
07-05-01	07-05	限時動作接点	36	メーク接点（限時閉路）
07-05-02	07-05	限時動作接点	37	メーク接点（限時開路）
07-05-03	07-05	限時動作接点	38	ブレーク接点（限時開路）
07-05-04	07-05	限時動作接点	39	ブレーク接点（限時閉路）
07-05-05	07-05	限時動作接点	40	メーク接点（限時）
07-05-06	07-05	限時動作接点	41	接点の組合せ
07-05-07	07-05	限時動作接点	42	ブレーク接点（限時）
07-07-01	07-07	単極スイッチ	43	手動操作スイッチ（一般図記号）
07-07-02	07-07	単極スイッチ	44	手動操作の押しボタンスイッチ（自動 復帰）
07-07-03	07-07	単極スイッチ	45	手動操作の引きボタンスイッチ（自動 復帰）
07-07-04	07-07	単極スイッチ	46	手動操作のひねりスイッチ（非自動復 帰）
07-07-05	07-07	単極スイッチ	47	確実動作が行われる手動操作の押しボ タンスイッチ（自動復帰）
07-07-06	07-07	単極スイッチ	48	非常停止スイッチ
07-07-07	07-07	単極スイッチ	49	手動操作スイッチ（ブレーク接点）
07-08-01	07-08	リミットスイッチ	50	リミットスイッチ（メーク接点）
07-08-02	07-08	リミットスイッチ	51	リミットスイッチ（ブレーク接点）
07-08-03	07-08	リミットスイッチ	52	リミットスイッチ（機械的に連結され る個別のメーク接点とブレーク接点）
07-08-04	07-08	リミットスイッチ	53	リミットスイッチ（確実な開放ブレー ク接点）
07-09-01	07-09	温度感知スイッチ	54	温度感知スイッチ（メーク接点）
07-09-02	07-09	温度感知スイッチ	55	温度感知スイッチ（ブレーク接点）
07-09-03	07-09	温度感知スイッチ	56	ブレーク接点の自己動作温度スイッチ
07-09-04	07-09	温度感知スイッチ	57	感温体付き気体放電管
07-11-04	07-11	制御スイッチを含む多段スイッチの例	58	多段スイッチ
07-11-05	07-11	制御スイッチを含む多段スイッチの例	59	多段スイッチ（最大 4 位置）
07-11-06	07-11	制御スイッチを含む多段スイッチの例	60	多段スイッチ（位置図を添えて示す場 合）
07-12-04	07-12	複合スイッチに用いるブロック図記号	61	複合スイッチ（一般図記号）
07-12-05	07-12	複合スイッチに用いるブロック図記号	62	計器用多段選択スイッチ（電圧回路用）
07-12-06	07-12	複合スイッチに用いるブロック図記号	63	端子表示付き計器用多段選択スイッチ （電圧回路用）
07-12-07	07-12	複合スイッチに用いるブロック図記号	64	計器用多段選択スイッチ（電流回路用）
07-12-08	07-12	複合スイッチに用いるブロック図記号	65	端子表示付き計器用多段選択スイッチ （電流回路用）
07-13-02	07-13	電力用開閉装置	66	電磁接触器，電磁接触器の主メーク接 点
07-13-03	07-13	電力用開閉装置	67	自動引外し装置付き電磁接触器
07-13-04	07-13	電力用開閉装置	68	電磁接触器の主ブレーク接点， 電磁接触器
07-13-05	07-13	電力用開閉装置	69	遮断器
07-13-06	07-13	電力用開閉装置	70	アイソレータ，断路器
07-13-07	07-13	電力用開閉装置	71	双投形断路器，双投形アイソレータ
07-13-08	07-13	電力用開閉装置	72	負荷開閉器
07-13-09	07-13	電力用開閉装置	73	自動引外し装置付き負荷開閉器
07-13-10	07-13	電力用開閉装置	74	断路器，アイソレータ
07-13-11	07-13	電力用開閉装置	75	引外し自由機構（トリップフリー）
07-13-12	07-13	電力用開閉装置	76	引外し自由機構（適用例）
07-13-13	07-13	電力用開閉装置	77	機械式開閉装置（3 極）
07-13-14	07-13	電力用開閉装置	78	開放する確実動作付きスイッチ
07-13-15	07-13	電力用開閉装置	79	多機能スイッチング装置
07-13-16	07-13	電力用開閉装置	80	断路器及び接地開閉器の複合機器
07-13-17	07-13	電力用開閉装置	81	断路遮断器
07-14-01	07-14	電動機始動器に用いるブロック図記号	82	電動機始動器（一般図記号）
07-14-02	07-14	電動機始動器に用いるブロック図記号	83	ステップ形の始動器
07-14-03	07-14	電動機始動器に用いるブロック図記号	84	始動調整器
07-14-05	07-14	電動機始動器に用いるブロック図記号	85	主回路直結始動器（可逆）
07-14-06	07-14	電動機始動器に用いるブロック図記号	86	スターデルタ始動器
07-14-07	07-14	電動機始動器に用いるブロック図記号	87	単巻変圧器を用いる始動器
07-14-08	07-14	電動機始動器に用いるブロック図記号	88	サイリスタを用いる始動調整器
07-15-01	07-15	作動装置	89	作動装置（一般図記号）， 継電器コイル（一般図記号）
07-15-03	07-15	作動装置	90	作動装置，継電器コイル（結合表示）
07-15-07	07-15	作動装置	91	遅緩復旧形継電器コイル
07-15-08	07-15	作動装置	92	遅緩動作形継電器コイル
07-15-09	07-15	作動装置	93	遅緩動作形及び遅緩復旧形継電器コイ ル
07-15-10	07-15	作動装置	94	高速動作形継電器コイル
07-15-11	07-15	作動装置	95	交流不感動形継電器コイル
07-15-12	07-15	作動装置	96	交流感動形継電器コイル
07-15-13	07-15	作動装置	97	機械的共振形継電器コイル
07-15-14	07-15	作動装置	98	機械的ラッチング形継電器コイル
07-15-15	07-15	作動装置	99	有極形継電器コイル
07-15-16	07-15	作動装置	100	有極形継電器（自動復帰形）
07-15-17	07-15	作動装置	101	中立点付き自動復帰形の有極形継電器
07-15-19	07-15	作動装置	102	レマネント形継電器コイル
07-15-20	07-15	作動装置	103	レマネント形継電器コイル
07-15-21	07-15	作動装置	104	熱動継電器で構成される作動装置
07-15-22	07-15	作動装置	105	電子式継電器で構成される作動装置
07-15-23	07-15	作動装置	106	有極形継電器（安定形）
07-16-01	07-16	ブロック図記号及び限定図記号	107	保護継電器，保護継電器に関連する装 置
07-16-02	07-16	ブロック図記号及び限定図記号	108	フレーム地絡電圧，障害時のフレーム 電位
07-16-03	07-16	ブロック図記号及び限定図記号	109	残留電圧
07-16-04	07-16	ブロック図記号及び限定図記号	110	逆電流
07-16-05	07-16	ブロック図記号及び限定図記号	111	差動電流
07-16-06	07-16	ブロック図記号及び限定図記号	112	比率差電流
07-16-07	07-16	ブロック図記号及び限定図記号	113	地絡電流
07-16-08	07-16	ブロック図記号及び限定図記号	114	中性点電流
07-16-09	07-16	ブロック図記号及び限定図記号	115	二つの多相系統間の中性点電流
07-16-10	07-16	ブロック図記号及び限定図記号	116	位相角 α における電力
07-16-11	07-16	ブロック図記号及び限定図記号	117	反限時特性
07-17-01	07-17	保護継電器の例	118	無電圧継電器
07-17-02	07-17	保護継電器の例	119	逆電流継電器
07-17-03	07-17	保護継電器の例	120	不足電力継電器
07-17-04	07-17	保護継電器の例	121	限時形過電流継電器
07-17-05	07-17	保護継電器の例	122	過電流継電器
07-17-06	07-17	保護継電器の例	123	無効電力継電器
07-17-07	07-17	保護継電器の例	124	不足電圧継電器
07-17-08	07-17	保護継電器の例	125	電流継電器
07-17-09	07-17	保護継電器の例	126	不足インピーダンス継電器
07-17-10	07-17	保護継電器の例	127	巻線層間短絡検出継電器
07-17-11	07-17	保護継電器の例	128	導体断線検出継電器
07-17-12	07-17	保護継電器の例	129	欠相検出継電器
07-17-13	07-17	保護継電器の例	130	回転子の拘束検出継電器
07-17-14	07-17	保護継電器の例	131	過電流継電器
07-18-01	07-18	その他の装置	132	ブッフホルツ保護装置，気体継電器
07-18-02	07-18	その他の装置	133	自動再閉路用装置，自動再閉路継電器
07-18-03	07-18	その他の装置	134	簡易検圧（検電）装置
07-19-01	07-19	センサ及び検出器	135	近接センサ
07-19-02	07-19	センサ及び検出器	136	近接検出装置
07-19-03	07-19	センサ及び検出器	137	近接検出装置（静電容量形）
07-19-04	07-19	センサ及び検出器	138	接触センサ
07-20-01	07-20	スイッチ	139	触れ感応スイッチ
07-20-02	07-20	スイッチ	140	近接スイッチ
07-20-03	07-20	スイッチ	141	近接スイッチ（磁石の接近で作動）
07-20-04	07-20	スイッチ	142	近接スイッチ（鉄の接近で作動）
07-21-01	07-21	ヒューズ及びヒューズスイッチ	143	ヒューズ（一般図記号）
07-21-02	07-21	ヒューズ及びヒューズスイッチ	144	ヒューズ
07-21-03	07-21	ヒューズ及びヒューズスイッチ	145	ヒューズ，ストライカ付きヒューズ
07-21-04	07-21	ヒューズ及びヒューズスイッチ	146	警報接点付きヒューズ
07-21-05	07-21	ヒューズ及びヒューズスイッチ	147	別個の警報接点付きヒューズ
07-21-06	07-21	ヒューズ及びヒューズスイッチ	148	ストライカ付き 3 極スイッチ
07-21-07	07-21	ヒューズ及びヒューズスイッチ	149	ヒューズ付き開閉器
07-21-08	07-21	ヒューズ及びヒューズスイッチ	150	ヒューズ付き断路器， ヒューズ付きアイソレータ
07-21-09	07-21	ヒューズ及びヒューズスイッチ	151	ヒューズ付き負荷開閉器， 負荷遮断用ヒューズ付き開閉器
07-22-01	07-22	放電ギャップ及び避雷器	152	放電ギャップ
07-22-02	07-22	放電ギャップ及び避雷器	153	二重放電ギャップ
07-22-03	07-22	放電ギャップ及び避雷器	154	避雷器
07-22-04	07-22	放電ギャップ及び避雷器	155	保護ガス封入形放電管
07-22-05	07-22	放電ギャップ及び避雷器	156	保護ガス封入対称形放電管
07-25-01	07-25	静止形スイッチ	157	静止形スイッチ（一般図記号）
07-25-02	07-25	静止形スイッチ	158	静止形（半導体使用）接触器
07-25-03	07-25	静止形スイッチ	159	単一方向性静止形スイッチ
07-26-01	07-26	静止形開閉装置	160	静止形継電器（一般図記号）
07-26-02	07-26	静止形開閉装置	161	静止形継電器
07-26-03	07-26	静止形開閉装置	162	静止形熱動過負荷継電器
07-26-04	07-26	静止形開閉装置	163	静止形継電器
07-27-01	07-27	結合装置及び静止形継電器のブロック図記号	164	電気分離形結合装置
07-27-02	07-27	結合装置及び静止形継電器のブロック図記号	165	電気分離形結合装置（光学的結合）
07-A1-04	07-A1	旧図記号・限定図記号	177	自動復帰機能
07-A1-05	07-A1	旧図記号・限定図記号	178	非自動復帰機能
07-A2-02	07-A2	旧図記号・2 位置又は 3 位置接点	179	メーク接点（一般図記号），スイッチ（一 般図記号）
07-A6-01	07-A6	旧図記号・自動復帰接点及び非自動復帰接点	180	自動復帰するメーク接点
07-A6-02	07-A6	旧図記号・自動復帰接点及び非自動復帰接点	181	残留機能付きメーク接点
07-A6-03	07-A6	旧図記号・自動復帰接点及び非自動復帰接点	182	自動復帰するブレーク接点
07-A6-04	07-A6	旧図記号・自動復帰接点及び非自動復帰接点	183	オフ位置付き切換え接点，自動復帰，残 留機能付き
07-A11-01	07-A11	旧図記号・制御スイッチを含む多段スイッチの例	184	レバー操作式スイッチ
07-A11-02	07-A11	旧図記号・制御スイッチを含む多段スイッチの例	186	スイッチの組合せ，一組は押しボタン 作動，一組はひねりボタン作動
